ERROR | 2020-02-03 13:53:54,077 | Common.java | 84 | Home page failed to diplay
ERROR | 2020-02-03 13:56:18,117 | Common.java | 84 | Issues/Points - AllReport not generated -Issue in the Report.
ERROR | 2020-02-03 14:02:42,972 | Common.java | 84 | Checklist ReportReport not generated -Issue in the Report.
ERROR | 2020-02-03 14:15:10,818 | Common.java | 84 | Due Date - JurisdictionsReport not generated -Issue in the Report.
ERROR | 2020-02-03 14:38:35,780 | Common.java | 84 | Task Details - LargeReport not generated -Issue in the Report.
ERROR | 2020-02-03 15:03:12,545 | Common.java | 84 | User WorkloadReport not generated -Issue in the Report.
ERROR | 2020-02-03 15:11:49,208 | Common.java | 84 | Summary - By StatusReport not generated -Issue in the Report.
ERROR | 2020-02-03 15:21:13,180 | Common.java | 84 | Engagement Summary ReportReport not generated -Issue in the Report.
ERROR | 2020-02-03 15:33:22,225 | Common.java | 84 | Group DetailsReport not generated -Issue in the Report.
ERROR | 2020-02-03 15:35:45,798 | Common.java | 84 | Outsource Billing Report link is not displayed.
ERROR | 2020-02-03 15:35:46,216 | Common.java | 84 | Not able to find Run Report
ERROR | 2020-02-03 15:35:51,604 | Common.java | 84 | The given window "2" is failed to open
ERROR | 2020-02-03 15:46:24,271 | Common.java | 84 | User Details Report link is not displayed.
ERROR | 2020-02-03 15:46:24,717 | Common.java | 84 | Not able to find Run Report
ERROR | 2020-02-03 15:46:30,052 | Common.java | 84 | The given window "2" is failed to open
